Propertyname_name,Propertyname_address,Propertyname_price,Propertyname_Name,Propertyname_location,Propertyname_description,Propertyname_imageurl,Bathroom(s),Bedroom(s),Built-up area,Built-up price,Car Parks,Lot type,Property type,price_per_sqft
Damansara Heights (Bukit Damansara),"Damansara Heights, Kuala Lumpur",20000.0,Damansara Heights bungalow for rent with swimming pool,"Damansara Heights (Bukit Damansara), Damansara Heights, Kuala Lumpur","Owners welcome to list with me 012~2017185
For viewing please contact 012~2017185
Newly rebuilt bungalow for rent. View to appreciate. Excellent condition unit",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC84NjQ3Nl8xNzQ5MDI5MDcxXzVFZGdQcm81X3JmNF8wLmpwZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiIgICIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,2.0,6.0,6000.0,RM 3/sqft,4.0,non bumi lot,bungalow / detached house,3.3333333333333335
Dedaun Hijau (Greenfield Regency),"Taman Tampoi Indah, Johor Bahru, 81200, Johor, Tampoi, Johor",1800.0,Dedaun Hijau (Greenfield Regency),"Dedaun Hijau (Greenfield Regency), Tampoi, Johor","📍Greenfield Regency
💰 For Rent RM1800💰
💥Address: Greenfield Regency
Blk D Jalan Skudai Lama, Taman Tampoi Indah, 81200 Skudai, Johor
💥Type: Service apartment leve...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDQyOTdfMTc0ODU5NTEwNF81RWRnUHJvNV9pbWdfMjAyNTA1MzBfMTYwMDE4XzE4OF8wLmpwZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiJTQU1BTlRIQSBUQU5HIiwiZ3Jhdml0eSI6InNvdXRoZWFzdCJ9fX19,2.0,3.0,941.0,RM 1/sqft,2.0,,condominium,1.9128586609989373
Dedaun Hijau (Greenfield Regency),"Taman Tampoi Indah, Johor Bahru, 81200, Johor, Tampoi, Johor",1600.0,Dedaun Hijau (Greenfield Regency),"Dedaun Hijau (Greenfield Regency), Tampoi, Johor","Greenfield Service Apartment @Tampoi
地点靠近Paradign Mall, Sutera ，非常方便
Studio 单位包家私 随时可入住
Mid floor
476 sqft
Facing Sutera mall
Full furnish
1 car park
Ready move in condition
For rent : RM 1600
rY0860",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDU4MTVfMTc0ODY2ODA5MV81RWRnUHJvNV93aGF0c2FwcGltYWdlMjAyNTA1MzBhdDE5LjM0LjU3XzAuanBlZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiJBTElDRSBHT0giLCJncmF2aXR5Ijoic291dGhlYXN0In19fX0=,1.0,3.0,476.0,RM 3/sqft,1.0,non bumi lot,condominium,3.361344537815126
Dedaun Hijau (Greenfield Regency),"Taman Tampoi Indah, Johor Bahru, 81200, Johor, Tampoi, Johor",1300.0,Dedaun Hijau (Greenfield Regency),"Dedaun Hijau (Greenfield Regency), Tampoi, Johor","📍Greenfield Regency
💰 For Rent RM1300💰
💥Address: Greenfield Regency
Blk B, Jalan Skudai Lama, Taman Tampoi Indah, 81200 Skudai, Johor
💥Type: Service Apartment Mid F...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDQyOTdfMTc0OTA0NTU4Nl81RWRnUHJvNV9pbWdfMjAyNTA2MDRfMjEyODE4XzMxNl8wLmpwZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiJTQU1BTlRIQSBUQU5HIiwiZ3Jhdml0eSI6InNvdXRoZWFzdCJ9fX19,1.0,3.0,476.0,RM 2/sqft,2.0,,condominium,2.73109243697479
Desa ParkCity (LeVenue),"Jalan Desa Residen, Desa ParkCity, Kuala Lumpur",11000.0,Limited Unit Available! It's now or never,"Desa Parkcity (Levenue), Desa Parkcity, Kuala Lumpur","Well Kept 2 Storey Terraces is now open for rent RM11,000
Rare chance to own one of the few units
Don't miss the chance
It's now or never!
Vacant & ready for move in soon
Internal Wall & Wood flooring will be done with new fresh coat of...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8yOTY3NF8xNzQ5MDkwODk3XzVFZGdQcm81X3doYXRzYXBwaW1hZ2UyMDI1MDQwOGF0MTMuMDEuNTRfMC5qcGVnIiwidmVyc2lvbiI6IjEiLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0Ijoib3V0c2lkZSIsImhlaWdodCI6NzIwfSwiVEVQV2F0ZXJtYXJrIjp7Im9wdGlvbnMiOnsibmFtZSI6IkNBUk9MIFlPTkciLCJncmF2aXR5Ijoic291dGhlYXN0In19fX0=,6.0,6.0,5000.0,RM 2/sqft,2.0,non bumi lot,terrace house,2.2
Desa ParkCity (The Breezeway Park Homes),"Persiaran Residen, Desa ParkCity, Kuala Lumpur",14000.0,The Breezeway 3.5 Storey Corner Parkhomes Desa Park City For Rent,"Desa Parkcity (The Breezeway Park Homes), Desa Parkcity, Kuala Lumpur","The Breezeway 3.5 Storey Corner Parkhomes Desa Park City For Rent
Asking Price RM 14,000
3.5 Storey Landed
Corner The Breezeway DPC
Partly Furnished
3 Ca...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8yODgyMl8xNzQ4OTQzMTY0XzVFZGdQcm81X3doYXRzYXBwaW1hZ2UyMDI1MDYwM2F0NS4xOS4yNXBtM18wLmpwZWciLCJ2ZXJzaW9uIjoiMSIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJvdXRzaWRlIiwiaGVpZ2h0Ijo3MjB9LCJURVBXYXRlcm1hcmsiOnsib3B0aW9ucyI6eyJuYW1lIjoiQkVOSkFNSU4gTEFJICIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,6.0,6.0,1555.224852071006,RM -,3.0,,terrace house,9.00191376273147
Desa ParkCity (The Northshore Gardens),"Persiaran Residen 2, Desa Parkcity, 52200, Kuala Lumpur, Desa ParkCity, Kuala Lumpur",7500.0,Desa ParkCity (The Northshore Gardens),"Desa Parkcity (The Northshore Gardens), Desa Parkcity, Kuala Lumpur","Your Dream Unit will be ready very soon!
Cozy Unit will be available for rent in July
Your home is well ready in fully furnished, just grab your baggage and you can move in soon.
Prime location, just next to Waterfront, Desa Parking
Short walking distance access to Club House, Centre Park, Plaza Arkadia and ...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8yOTY3NF8xNzQ5MDA2MDkyXzVFZGdQcm81X3doYXRzYXBwaW1hZ2UyMDI1MDYwNGF0MTAuMDIuNTAxXzAuanBlZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiJDQVJPTCBZT05HIiwiZ3Jhdml0eSI6InNvdXRoZWFzdCJ9fX19,3.0,4.0,1948.0,RM 3/sqft,2.0,non bumi lot,condominium,3.8501026694045173
Desa ParkCity (The Ridgewood),"Jalan Desa Bistari 1, Desa ParkCity, Kuala Lumpur",25000.0,2 Storey Bungalow with a spacious big land,"Desa Parkcity (The Ridgewood), Desa Parkcity, Kuala Lumpur","A Luxury Bungalow with a extended big patio for entertainment
Price For Rent: RM25,000
Unit will be vacate very soon
Very Limited Unit For Rent In Market!
Meticulous Maintained Unit, Clean & Can Move In Very So...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8yOTY3NF8xNzQ4NjY2MTcwXzVFZGdQcm81X3doYXRzYXBwaW1hZ2UyMDI1MDMyM2F0MTYuNTIuMTMyXzAuanBlZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiJDQVJPTCBZT05HIiwiZ3Jhdml0eSI6InNvdXRoZWFzdCJ9fX19,6.0,7.0,6000.0,RM 4/sqft,4.0,non bumi lot,bungalow / detached house,4.166666666666667
Diamond City,"Lebuh Diamond, Semenyih, Selangor",3300.0,"Diamond City, Semenyih. 3sty Bungalow House, SPANISH STYLE (5750sf with garden)","Diamond City, Semenyih, Selangor","3sty Bungalow Diamond City, Semenyih
For Rent: Rm3300 (nego)
* Great Hill View, Sunrise and sunset view
* 24hrs Guarded & Gated
SPANISH S...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xNzM2OV8xNzQ3Mjk3NTI5XzVFZGdQcm81X2RpYW1vbmRjaXR5YnVuZ2Fsb3c0MV8wLmpwZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiJWSVZJQU4gTElPTkcgIiwiZ3Jhdml0eSI6InNvdXRoZWFzdCJ9fX19,5.0,7.0,3600.0,RM 0/sqft,5.0,non bumi lot,bungalow / detached house,0.9166666666666666
Dk Senza Residence,"Jalan Taylors, Subang Jaya, Selangor",2900.0,Dk Senza Residence,"Dk Senza Residence, Subang Jaya, Selangor","DK Senza condominium Bandar Sunway
********************************************
DK walking distance to Taylors Lakeside
Fully furnished,
Aircond in all rooms
3 bedroom 2 bath
Vacant
Viewing with Karen Ong 012-3287184",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC85OTk2MV8xNzQ0ODk3MDMzXzVFZGdQcm81X3doYXRzYXBwaW1hZ2UyMDI1MDQxNWF0MTIuMDUuMDZfMC5qcGVnIiwidmVyc2lvbiI6IjEiLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0Ijoib3V0c2lkZSIsImhlaWdodCI6NzIwfSwiVEVQV2F0ZXJtYXJrIjp7Im9wdGlvbnMiOnsibmFtZSI6IktBUkVOIE9ORyIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,2.0,3.0,1070.0,RM 2/sqft,1.0,non bumi lot,condominium,2.710280373831776
E Park Residences,"Taman Sri Putra Mas, 47000, Selangor, Sungai Buloh, Selangor",2100.0,E Park Residences,"E Park Residences, Sungai Buloh, Selangor","E Park Residence fully furnished for rent
* 1400 sf
* 3R2B
* High floor
* 2 car ...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC81NzMyXzE3MTQ1MzQ4NDBfNUVkZ1BybzVfaW1nMjAyNDA0MzB3YTAwNjFfMC5qcGciLCJ2ZXJzaW9uIjoiMSIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJvdXRzaWRlIiwiaGVpZ2h0Ijo3MjB9LCJURVBXYXRlcm1hcmsiOnsib3B0aW9ucyI6eyJuYW1lIjoiU0lFVyBMRUUgVEFOIiwiZ3Jhdml0eSI6InNvdXRoZWFzdCJ9fX19,2.0,3.0,1400.0,RM 1/sqft,2.0,non bumi lot,condominium,1.5
Edumetro @ Subang Jaya,"Edumetro, Taman Subang Permai, 47500 Subang Jaya, Selangor, USJ, Selangor",1700.0,Edumetro @ Subang Jaya,"Edumetro @ Subang Jaya, Usj, Selangor","Fully furnished condo @ Edumetro USJ 1 for rent
Move in condition
Can move in immediately
Monthly Rental RM1700 negotiable
Call Lilian Ee 016-2250582 for viewing appointment.",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC83MDE4MV8xNzQ4ODYxMjY5XzVFZGdQcm81X3doYXRzYXBwaW1hZ2UyMDI1MDYwMmF0Ni4xNi4yOXBtXzAuanBlZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiJMSUxJQU4gRUUiLCJncmF2aXR5Ijoic291dGhlYXN0In19fX0=,1.0,1.0,520.0,RM 3/sqft,2.0,,condominium,3.269230769230769
Edusentral @ Setia Alam,"Jalan Setia Murni U13/51, 40170, Selangor, Setia Alam/Alam Nusantara, Selangor",1200.0,Edusentral @ Setia Alam,"Edusentral @ Setia Alam, Setia Alam/Alam Nusantara, Selangor","Setia Alam, Edu Sentral Semi Furnished Nice View Studio unit for Rent
For Rent
Apartment Name: Edu Sentral
Unit Type: Studio unit
Built-Up: 5...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC85Nzg2MV8xNzQ0MTI2NDU4XzVFZGdQcm81X2VkdXNlbnRyYWxzdHVkaW9wYXJ0aWFsdW5pdGZvcnJlbnQwNF8wLmpwZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiJUSE9NQVMgVEhJIiwiZ3Jhdml0eSI6InNvdXRoZWFzdCJ9fX19,1.0,3.0,500.0,RM 2/sqft,1.0,non bumi lot,condominium,2.4
Elmina Valley 1,"Shah Alam, Selangor",2000.0,"Elmina Valley 1,Elmina West,Denai Alam","Elmina Valley 1, Shah Alam, Selangor","Elmina Valley 1 @ Elmina west for rent
- 2 storey intermediate lot
- Built up: 1709 sqft
- Land area: 20x60
- Basic unit with Lights, Fans and grilles
- Freehold
- Rent RM2000
For more info and arrange viewing,
Please call Benny 010-9202344",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8zOTU5M18xNzQ0MTc4NTc1XzVFZGdQcm81X3doYXRzYXBwaW1hZ2UyMDE5MTAyNGF0MTguNTQuMTJfMC5qcGVnIiwidmVyc2lvbiI6IjEiLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0Ijoib3V0c2lkZSIsImhlaWdodCI6NzIwfSwiVEVQV2F0ZXJtYXJrIjp7Im9wdGlvbnMiOnsibmFtZSI6IkJFTk5ZIE9ORyAiLCJncmF2aXR5Ijoic291dGhlYXN0In19fX0=,3.0,4.0,1709.0,RM 1/sqft,2.0,non bumi lot,terrace house,1.1702750146284377
Elmina Valley 5,"Shah Alam, Selangor",4000.0,"Elmina Valley 5,Elmina West,Denai Alam","Elmina Valley 5, Shah Alam, Selangor","~~For Rent~~
Elmina Valley 5 (End Lot)
Details:
- Built up 2581 sqft
- Land area 2,400 sqft
- Partially Furni...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8zOTU5M18xNzI3OTM2NjEzXzVFZGdQcm81X2ltZ181MTY3XzAuanBlZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiJCRU5OWSBPTkcgIiwiZ3Jhdml0eSI6InNvdXRoZWFzdCJ9fX19,4.0,5.0,281.0,RM 14/sqft,2.0,non bumi lot,terrace house,14.234875444839858
Endah Ria,"Taman Sri Endah, 57000, Kuala Lumpur, Bandar Baru Sri Petaling, Kuala Lumpur",1500.0,Endah Ria,"Endah Ria, Bandar Baru Sri Petaling, Kuala Lumpur","🔥🔥🔥 Endah Ria 3 bedrooms condo High Floor Facing Taman Furnished Unit RM1500 Ready to Move In
Call/Whatsapp: Wee +60123281411 for more details.
✔️ 964sf, 3 bedrooms 2 bathrooms,
✔️ High floor facing Taman quiet un...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDk0NV8xNjc4MzQxMDkyXzVFZGdQcm81X3B4bF8yMDIzMDMwOF8wODUxMjcyMzljb2xsYWdlXzAuanBnIiwidmVyc2lvbiI6IjEiLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0Ijoib3V0c2lkZSIsImhlaWdodCI6NzIwfSwiVEVQV2F0ZXJtYXJrIjp7Im9wdGlvbnMiOnsibmFtZSI6Ill1IENod2VybiBXZWUiLCJncmF2aXR5Ijoic291dGhlYXN0In19fX0=,2.0,3.0,964.0,RM 1/sqft,1.0,non bumi lot,condominium,1.5560165975103735
Equine Residence @ Equine Park,"Jalan Equine, Taman Equine, 43300, Selangor, Seri Kembangan, Selangor",1850.0,Equine Residence @ Equine Park,"Equine Residence @ Equine Park, Seri Kembangan, Selangor","Studio for Rent @ Equine Residence – RM1,850/month
📍 Available Starting July 25
Looking for a comfortable and convenient home? This modern studio unit at Equine Residence is the perfect match for singles or couples seeking easy living in a strategic location.
Property Detail...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDY2NzhfMTc0ODk0MDg4NF81RWRnUHJvNV9pbWcyMDI1MDYwM3dhMDAwN18wLmpwZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiJFUklLIE9IIiwiZ3Jhdml0eSI6InNvdXRoZWFzdCJ9fX19,1.0,3.0,450.0,RM 4/sqft,2.0,,condominium,4.111111111111111
For Rent Taman Johor Jaya / Bakawali / Single storey low cost house/ 2 bedrooms,"Jalan Bakawali, Johor Bahru, Johor",1200.0,For Rent Taman Johor Jaya / Bakawali / Single storey low cost house/ 2 bedrooms,"Johor Bahru, Johor","For Rent
Johor jaya bakawali
Single Storey House
( Low Cost)
Basic Renovation
20x60
...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDE4NTJfMTc0ODk0MTIyOF81RWRnUHJvNV8xNzQ4OTQxMjIzMDgzXzAuanBnIiwidmVyc2lvbiI6IjEiLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0Ijoib3V0c2lkZSIsImhlaWdodCI6NzIwfSwiVEVQV2F0ZXJtYXJrIjp7Im9wdGlvbnMiOnsibmFtZSI6IkFteSBMZWUiLCJncmF2aXR5Ijoic291dGhlYXN0In19fX0=,1.0,2.0,1555.224852071006,RM -,2.0,non bumi lot,low-cost house,0.7715926082341259
Gembira Residen (Gembira Residence),"2, Jalan Senang Ria, Taman Gembira, 58200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Jalan Klang Lama (Old Klang Road), Kuala Lumpur",2300.0,Gembira Residen (Gembira Residence),"Gembira Residen (Gembira Residence), Jalan Klang Lama (Old Klang Road), Kuala Lumpur","Gembira Residen, Taman Gembira, Jalan Klang Lama (Old Klang Road)
Gembira Residen with fully furnished ready to stay, bring your luggage
Gembira Residen, Jalan Senang Ria KL
===========================
Rental Price : RM2,300
=======================...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDMzODNfMTc0ODk1Njc5N181RWRnUHJvNV93aGF0c2FwcGltYWdlMjAyNTA2MDFhdDExLjI1LjI4MWNvcHlfMC5qcGVnIiwidmVyc2lvbiI6IjEiLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0Ijoib3V0c2lkZSIsImhlaWdodCI6NzIwfSwiVEVQV2F0ZXJtYXJrIjp7Im9wdGlvbnMiOnsibmFtZSI6IlpPRSBMSUFXIiwiZ3Jhdml0eSI6InNvdXRoZWFzdCJ9fX19,2.0,3.0,1168.0,RM 1/sqft,2.0,non bumi lot,condominium,1.9691780821917808
Halo Sunday @ Empire City,"Jalan PJU 8/1, Damansara Perdana, 47820, Selangor, Damansara Perdana, Selangor",950.0,Halo Sunday @ Empire City,"Halo Sunday @ Empire City, Damansara Perdana, Selangor","𝐅𝐨𝐫 𝐑𝐞𝐧𝐭 | 𝐖𝐓𝐋
𝐒𝐭𝐮𝐝𝐢𝐨 𝐔𝐧𝐢𝐭 𝐇𝐚𝐥𝐨 𝐒𝐮𝐧𝐝𝐚𝐲 𝐄𝐦𝐩𝐢𝐫𝐞 𝐂𝐢𝐭𝐲
@ 𝐏𝐉 𝐃𝐚𝐦𝐚𝐧𝐬𝐚𝐫𝐚 𝐏𝐞𝐫𝐝𝐚𝐧𝐚
🔥 Private Studio Unit
🔥 Low Floor ...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDI0MjhfMTc0Njc5MTQyOF81RWRnUHJvNV9waG90b18yMDI1MDUwOV8xODIzNDVfMC5qcGciLCJ2ZXJzaW9uIjoiMSIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJvdXRzaWRlIiwiaGVpZ2h0Ijo3MjB9LCJURVBXYXRlcm1hcmsiOnsib3B0aW9ucyI6eyJuYW1lIjoiSEFJTEVZIiwiZ3Jhdml0eSI6InNvdXRoZWFzdCJ9fX19,1.0,3.0,460.0,RM 2/sqft,2.0,,condominium,2.0652173913043477
Impian Meridian,"USJ 1, Subang Jaya, 47600, Selangor, USJ, Selangor",2200.0,Impian Meridian,"Impian Meridian, Usj, Selangor","mpian Meridian, USJ 1
Many units available on hand, contact to view actual unit
Unit Type:
995sf
130...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDQ0OTdfMTc0ODI2MTIyM181RWRnUHJvNV9waG90bzIwMjUwNTI2MTUwNjI3Ml8wLmpwZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiIgICIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,2.0,3.0,995.0,RM 2/sqft,1.0,,condominium,2.2110552763819094
Impiana @ East Ledang,"Persiaran Puteri Ledang Iskandar Puteri, Iskandar Puteri, Johor",2300.0,Impiana @ East Ledang,"Impiana @ East Ledang, Iskandar Puteri, Johor","For Rent
Impiana East Ledang
@ Educity , Nusajaya, near Tuas
2 bedrooms
2 bathrooms
Size 1200 sf
80% Fully Furnish
Rental RM2300 nego
Contact me
Sherlin To 016-7252829",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDEwNjBfMTc0OTEyODYyMF81RWRnUHJvNV8xNzQ5MTI4NjE2Nzc1XzAuanBnIiwidmVyc2lvbiI6IjEiLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0Ijoib3V0c2lkZSIsImhlaWdodCI6NzIwfSwiVEVQV2F0ZXJtYXJrIjp7Im9wdGlvbnMiOnsibmFtZSI6IlNIRVJMSU4gVE8iLCJncmF2aXR5Ijoic291dGhlYXN0In19fX0=,2.0,2.0,1200.0,RM 1/sqft,2.0,non bumi lot,condominium,1.9166666666666667
Iris Residence,"Jalan Sungai Long, 43200, Selangor, Kajang, Selangor",1900.0,Iris Residence,"Iris Residence, Kajang, Selangor","Whatsapp 010-208 7687 Eason Wong (Owner authorized agent)
Other owner in CHERAS are also welcome to list
Iris Residence @ Bandar Sungai Long
Security: Yes
Type: Intermediate
Tenure: Fre...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDQxMDJfMTc0ODc4NjYyOF81RWRnUHJvNV8wMDFfMC5qcGciLCJ2ZXJzaW9uIjoiMSIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJvdXRzaWRlIiwiaGVpZ2h0Ijo3MjB9LCJURVBXYXRlcm1hcmsiOnsib3B0aW9ucyI6eyJuYW1lIjoiICAiLCJncmF2aXR5Ijoic291dGhlYXN0In19fX0=,2.0,3.0,1058.0,RM 1/sqft,2.0,non bumi lot,condominium,1.7958412098298677
