Propertyname_name,Propertyname_address,Propertyname_address_url,Propertyname_price,Propertyname_price_url,Propertyname_Name,Propertyname_location,Propertyname_description,Bathroom(s),Bedroom(s),Built-up area,Built-up price,Car Parks,Land area,Land area price,Lot type,Property type,Bedroom(s)_clean,Price_clean,Bathroom(s)_clean,Builtup_area_clean,CarParks_clean,state,city,state_score,city_multiplier,location_score,Price_capped,Builtup_area_capped,CarParks_capped,location_score_capped,price_per_sqft
Setia Eco Gardens,"Iskandar, Nusajaya, Gelang Patah, Johor",https://www.edgeprop.my/listing/sale/3370538/johor/gelang_patah/landed/bungalow-detachedhouse-villa/setia-eco-garden-luxury-bungalow,"2,700,000",https://www.edgeprop.my/listing/sale/3370538/johor/gelang_patah/landed/bungalow-detachedhouse-villa/setia-eco-garden-luxury-bungalow,Setia Eco Garden Luxury Bungalow,"Setia Eco Gardens, Gelang Patah, Johor","Modern Luxury Bungalow
Brand New
- Double Storey Bungalow
- Minimalist, Modern Design
- Individual Title
- Freehold
- Land Area 55' x ...",6 B,5 + 1 BR,"4,648 sqft",RM 580/sqft,,,,Non Bumi Lot,Bungalow / Detached House,6.0,2700000.0,6.0,4648.0,2.0,Johor,Gelang Patah,0.9,0.8,0.7200000000000001,2700000.0,4648.0,2.0,0.7200000000000001,580.895008605852
Setia Eco Gardens,"Iskandar, Nusajaya, Gelang Patah, Johor",https://www.edgeprop.my/listing/sale/3431432/johor/gelang_patah/landed/terracehouse/setia-eco-garden-double-storey-terrace-house-20x70-bumi-lot-casea-garden-jalan-laman-setia-5-gelang-patah,"678,000",https://www.edgeprop.my/listing/sale/3431432/johor/gelang_patah/landed/terracehouse/setia-eco-garden-double-storey-terrace-house-20x70-bumi-lot-casea-garden-jalan-laman-setia-5-gelang-patah,"Setia Eco Garden Double Storey Terrace House 20x70 BUMI LOT, Casea Garden, Jalan Laman Setia 5 @ Gelang Patah","Setia Eco Gardens, Gelang Patah, Johor","Casea Garden @ Setia Eco Garden
Jalan Laman Setia 5, Gelang Patah
2 Storey Terrace House
Size: 20x70
4 Bedrooms
3 Bathrooms
Freehold
BUMI LOT
Gated Guarded
Asking Price: RM678k
Please contact 019-2288249",3 B,4 BR,- sqft,RM -,,,,Bumi Lot,Terrace House,4.0,678000.0,3.0,2207.0,2.0,Johor,Gelang Patah,0.9,0.8,0.7200000000000001,678000.0,2207.0,2.0,0.7200000000000001,307.2043497961033
Setia Impian,"Setia Alam, Selangor",https://www.edgeprop.my/listing/sale/3426399/selangor/setia_alam/alam_nusantara/landed/terracehouse/setia-impian-3-setia-alam-terraced-house-for-sale-20x65-double-storey-good-condition,"650,000",https://www.edgeprop.my/listing/sale/3426399/selangor/setia_alam/alam_nusantara/landed/terracehouse/setia-impian-3-setia-alam-terraced-house-for-sale-20x65-double-storey-good-condition,Setia Impian 3 Setia Alam Terraced House For Sale 20x65 Double Storey Good Condition,"Setia Impian, Setia Alam, Selangor","WTS
Renovated Setia Impian 3, Setia Alam
$$ Asking Price: Rm650k$$
---------------------------------
2 Storey House
20x6...",3 B,4 BR,"1,300 sqft",RM 500/sqft,,,,Non Bumi Lot,Terrace House,4.0,650000.0,3.0,1300.0,2.0,Selangor,Setia Alam,0.95,0.8,0.76,650000.0,1300.0,2.0,0.76,500.0
Stoneridge @ Eco Majestic,"Eco Majestic, Merrydale, Tenderfields, Stoneridge, Eco Forest, Setia Ecohill, Diamond City, Noblegate, Setia Ecohill 2,Cheerywood, Kajang East, Hillpark, Bangi, Jade Hill Kajang, Serene height, Alam Sari, Cyberjaya, Putrajaya, Mantin, Nilai, Dengkil, Semenyih, Selangor",https://www.edgeprop.my/listing/sale/1715126/selangor/semenyih/landed/linkbungalow-semidetachedhouse/cheapest-36x80-stoneridge-eco-majestic-2-storey-cluster-semi-d,"1,360,000",https://www.edgeprop.my/listing/sale/1715126/selangor/semenyih/landed/linkbungalow-semidetachedhouse/cheapest-36x80-stoneridge-eco-majestic-2-storey-cluster-semi-d,[CHEAPEST 36X80] Stoneridge Eco Majestic 2 Storey Cluster Semi D,"Stoneridge @ Eco Majestic, Semenyih, Selangor","Stoneridge Eco Majestic
2 Storey Semi D
Price: RM 1,380,000
Face lake RM 1.5 mil
Deta...",4 B,4 + 2 BR,"3,306 sqft",RM 411/sqft,6 Car Parks,,,Non Bumi Lot,Link Bungalow / Semi-Detached,6.0,1360000.0,4.0,3306.0,6.0,Selangor,Semenyih,0.95,0.8,0.76,1360000.0,3306.0,6.0,0.76,411.373260738052
Taman Desa Jaya,"Off Jalan desa Jaya, Johor Bahru, Johor",https://www.edgeprop.my/listing/sale/3431051/johor/johor_bahru/landed/terracehouse/taman-desa-jaya-single-storey-terrace-house-renovated-unit-near-johor-jaya-ehsan-jaya-desa-cemerlang,"488,000",https://www.edgeprop.my/listing/sale/3431051/johor/johor_bahru/landed/terracehouse/taman-desa-jaya-single-storey-terrace-house-renovated-unit-near-johor-jaya-ehsan-jaya-desa-cemerlang,"Taman Desa Jaya Single Storey Terrace House, Renovated Unit, Near Johor Jaya, Ehsan Jaya, Desa Cemerlang","Taman Desa Jaya, Johor Bahru, Johor","For Sale
Taman Desa Jaya
Jalan Danau
Single Storey Terrace House
Intermedia unit
Land Area 20x70
3 Bedrooms
2 Bathrooms
Freehold
Non Bumi
Renovated Unit
Selling Price RM488k
Please contact 019-2288249
Constance Chan
PEA 3963
The Roof Realty Sdn Bhd
E(1)1605/1",2 B,3 BR,- sqft,RM -,,,,Non Bumi Lot,Terrace House,3.0,488000.0,2.0,2207.0,2.0,Johor,Johor Bahru,0.9,0.9,0.81,488000.0,2207.0,2.0,0.81,221.11463525147258
Taman Dusun Setia,"Jalan Melati, Seremban, Negeri Sembilan",https://www.edgeprop.my/listing/sale/3433020/negeri_sembilan/seremban/landed/terracehouse/2sty-house-tmn-dusun-setia-freehold-fully-renovated-extended-rm350k,"350,000",https://www.edgeprop.my/listing/sale/3433020/negeri_sembilan/seremban/landed/terracehouse/2sty-house-tmn-dusun-setia-freehold-fully-renovated-extended-rm350k,"2sty House Tmn DUSUN SETIA (Freehold, Fully Renovated & Extended) Rm350k","Taman Dusun Setia, Seremban, Negeri Sembilan","2sty House Tmn DUSUN SETIA, Seremban, Negeri Sembilan
For Sale: Rm350k
~ Bank loan and lawyer can be arranged
- Freehold, Non-Bumi
- Land: 19...",2 B,3 BR,"1,991 sqft",RM 175/sqft,3 Car Parks,,,Non Bumi Lot,Terrace House,3.0,350000.0,2.0,1991.0,3.0,Negeri Sembilan,Seremban,0.9,0.9,0.81,350000.0,1991.0,3.0,0.81,175.7910597689603
Taman Melawis (Taman Heng Luen),"Jalan Emas; Jalan Besi, Klang, Selangor",https://www.edgeprop.my/listing/sale/3423465/selangor/klang/landed/terracehouse/taman-melawis-klang-terreced-house-for-sale-20x80-single-storey-good-condition,"480,000",https://www.edgeprop.my/listing/sale/3423465/selangor/klang/landed/terracehouse/taman-melawis-klang-terreced-house-for-sale-20x80-single-storey-good-condition,Taman Melawis Klang Terreced House For Sale 20x80 Single Storey Good Condition,"Taman Melawis (Taman Heng Luen), Klang, Selangor","WTS
Taman Melawis, Klang
$$ Asking Price: Rm480k nego$$
$$ Asking Rental: Rm1300$$
-------------------------
Single Storey House...",2 B,3 BR,"1,600 sqft",RM 300/sqft,,,,Non Bumi Lot,Terrace House,3.0,480000.0,2.0,1600.0,2.0,Selangor,Klang,0.95,0.95,0.9025,480000.0,1600.0,2.0,0.9025,300.0
"Taman Mulia, Banting","Jalan Mulia, Banting, Selangor",https://www.edgeprop.my/listing/sale/3200655/selangor/banting/landed/linkbungalow-semidetachedhouse/semi-d-42x80-banting-taman-mulia-nice-design-freehold,"1,488,000",https://www.edgeprop.my/listing/sale/3200655/selangor/banting/landed/linkbungalow-semidetachedhouse/semi-d-42x80-banting-taman-mulia-nice-design-freehold,[SEMI-D 42X80] Banting Taman Mulia Nice Design Freehold,"Taman Mulia, Banting, Banting, Selangor","[SEMI-D 42X80] Banting Taman Mulia Nice Design Freehold
Taman Mulia, 42700 Banting, Selangor
Semi-D Double Storey
Intermediate lot
Individual Title
FRE...",4 B,3 BR,"4,200 sqft",RM 354/sqft,,,,Non Bumi Lot,Link Bungalow / Semi-Detached,3.0,1488000.0,4.0,4200.0,2.0,Selangor,Banting,0.95,0.8,0.76,1488000.0,4200.0,2.0,0.76,354.2857142857143
Taman Segar Perdana,"Jalan SP 4/3, Taman Segar Perdana, Cheras, Selangor",https://www.edgeprop.my/listing/sale/3433491/selangor/cheras/landed/terracehouse/freehold-corner-unit-fully-furnish-renovated,"1,450,000",https://www.edgeprop.my/listing/sale/3433491/selangor/cheras/landed/terracehouse/freehold-corner-unit-fully-furnish-renovated,"Freehold, Corner Unit, Fully Furnish & Renovated!","Taman Segar Perdana, Cheras, Selangor","Double Storey House @ Taman Segar Perdana For Sale
Property Details:
~ Corner Unit
~ Land size 44 x 70
~ Built up 3000sqf approximate
~ 6 +1 rooms & 5 bathrooms
~ Renovated unit
~ Fully furnish & extended
Kindly contact for viewing arrangement
~ Team Leader
~ REN 48506
~ Alex Yap
016
335
5328",5 B,6 + 1 BR,"3,064 sqft",RM 473/sqft,2 Car Parks,,,Non Bumi Lot,Terrace House,7.0,1450000.0,5.0,3064.0,2.0,Selangor,Cheras,0.95,0.8,0.76,1450000.0,3064.0,2.0,0.76,473.23759791122717
Tenderfields @ Eco Majestic,"Eco Majestic, Merrydale, Tenderfields, Stoneridge, Eco Forest, Setia Ecohill, Tenderfield, Diamond City, Setia Ecohill 2, Cheerywood, Noblegate, Seri Kembangan, Cyberjaya, Bangi, Putrajaya, Nilai, Mantin, Serdang, Kajang, Cheras, Semenyih, Selangor",https://www.edgeprop.my/listing/sale/1712470/selangor/semenyih/landed/linkbungalow-semidetachedhouse/full-loan-can-arrange-eco-majestic-semi-d,"900,000",https://www.edgeprop.my/listing/sale/1712470/selangor/semenyih/landed/linkbungalow-semidetachedhouse/full-loan-can-arrange-eco-majestic-semi-d,[Full Loan can arrange] Eco Majestic Semi D,"Tenderfields @ Eco Majestic, Semenyih, Selangor","Tenderfield Eco Majestic
2 Storey Cluster Semi D
Price : RM 930,000
Details:
* Land Area: 32x75
* built up: 2500sqft
* 4+1 bedrooms ,4 bathrooms
*Brand New
Full Loan can be arrange. Mot, legals fees can put in Loan.
Booking fees discusss
WhatsApp for viewing: Jesslyn 011-36525029",4 B,4 BR,"2,500 sqft",RM 360/sqft,,,,,Link Bungalow / Semi-Detached,4.0,900000.0,4.0,2500.0,2.0,Selangor,Semenyih,0.95,0.8,0.76,900000.0,2500.0,2.0,0.76,360.0
[CONVERTED] 0.5 Acre Residential Land Klang Kapar,"Jalan Keretapi, Klang, Selangor",https://www.edgeprop.my/listing/sale/3433655/selangor/klang/landed/residentialland/converted-0.5-acre-residential-land-klang-kapar,"1,500,000",https://www.edgeprop.my/listing/sale/3433655/selangor/klang/landed/residentialland/converted-0.5-acre-residential-land-klang-kapar,[CONVERTED] 0.5 Acre Residential Land Klang Kapar,"Klang, Selangor","[CONVERTED] 0.5 Acre Residential Land Klang Kapar
Location : Jalan Keretapi Klang Kapar 41400 Selangor
Residential Land
Converted
Land Size 22,058 ...",,- BR,,,,"22,058 sqft",RM 68/sqft,Non Bumi Lot,Residential Land,,1500000.0,,2207.0,2.0,Selangor,Klang,0.95,0.95,0.9025,1500000.0,2207.0,2.0,0.9025,679.6556411418214
[FREEHOLD 20X75] Banting Taman Muhibah Double Storey,"Banting, Selangor",https://www.edgeprop.my/listing/sale/2742309/selangor/banting/landed/terracehouse/freehold-20x75-banting-taman-muhibah-double-storey,"438,000",https://www.edgeprop.my/listing/sale/2742309/selangor/banting/landed/terracehouse/freehold-20x75-banting-taman-muhibah-double-storey,[FREEHOLD 20X75] Banting Taman Muhibah Double Storey,"Banting, Selangor","[FREEHOLD 20X75] Banting Taman Muhibah Double Storey
Location : Taman Muhibah, 42700 Banting, Selangor
Double Storey
Intermediate lot
Area Size 2...",3 B,4 BR,"1,980 sqft",RM 221/sqft,2 Car Parks,,,Non Bumi Lot,Terrace House,4.0,438000.0,3.0,1980.0,2.0,Selangor,Banting,0.95,0.8,0.76,438000.0,1980.0,2.0,0.76,221.21212121212122
[FREEHOLD 20X80] Banting Taman Gembira Double Storey,"Banting, Selangor",https://www.edgeprop.my/listing/sale/3433814/selangor/banting/landed/terracehouse/freehold-20x80-banting-taman-gembira-double-storey,"558,000",https://www.edgeprop.my/listing/sale/3433814/selangor/banting/landed/terracehouse/freehold-20x80-banting-taman-gembira-double-storey,[FREEHOLD 20X80] Banting Taman Gembira Double Storey,"Banting, Selangor","[FREEHOLD 20X80] Banting Taman Gembira Double Storey
Taman Gembira, Banting 42700, Selangor
Double Storey
Intermediate lot
Landed Indivi...",3 B,4 BR,"2,000 sqft",RM 279/sqft,2 Car Parks,,,Non Bumi Lot,Terrace House,4.0,558000.0,3.0,2000.0,2.0,Selangor,Banting,0.95,0.8,0.76,558000.0,2000.0,2.0,0.76,279.0
[RENOVATED FURNISHED] Banting Taman Mulia Freehold Semi-D,"Banting, Selangor",https://www.edgeprop.my/listing/sale/3152182/selangor/banting/landed/linkbungalow-semidetachedhouse/renovated-furnished-banting-taman-mulia-freehold-semi-d,"1,400,000",https://www.edgeprop.my/listing/sale/3152182/selangor/banting/landed/linkbungalow-semidetachedhouse/renovated-furnished-banting-taman-mulia-freehold-semi-d,[RENOVATED FURNISHED] Banting Taman Mulia Freehold Semi-D,"Banting, Selangor","[RENOVATED FURNISHED] Banting Taman Mulia Freehold Semi-D
Taman Mulia, 42700 Banting, Selangor
Semi-D Double Storey
Intermediate lot
Individual Title
FRE...",4 B,3 BR,"4,200 sqft",RM 333/sqft,2 Car Parks,,,Non Bumi Lot,Link Bungalow / Semi-Detached,3.0,1400000.0,4.0,4200.0,2.0,Selangor,Banting,0.95,0.8,0.76,1400000.0,4200.0,2.0,0.76,333.3333333333333
[SEMI-D 67X40] Banting Taman Langat Jaya Single Storey,"Taman Langat Jaya, Banting, Selangor",https://www.edgeprop.my/listing/sale/2682215/selangor/banting/landed/linkbungalow-semidetachedhouse/semi-d-67x40-banting-taman-langat-jaya-single-storey,"458,000",https://www.edgeprop.my/listing/sale/2682215/selangor/banting/landed/linkbungalow-semidetachedhouse/semi-d-67x40-banting-taman-langat-jaya-single-storey,[SEMI-D 67X40] Banting Taman Langat Jaya Single Storey,"Banting, Selangor","[SEMI-D 40X67] Single Storey Banting Taman Langat Jaya
Location : Taman Langat Jaya, Banting 42700, Selangor
Single Storey SEMI-D
Area Size 40 X 67
Extra Side land ...",2 B,3 BR,"1,280 sqft",RM 357/sqft,2 Car Parks,,,Non Bumi Lot,Link Bungalow / Semi-Detached,3.0,458000.0,2.0,1280.0,2.0,Selangor,Banting,0.95,0.8,0.76,458000.0,1280.0,2.0,0.76,357.8125
2.5 STOREY HYPERLINK HOUSE AT DUTA VILLA PRESINT 14 PUTRAJAYA,"Putrajaya, Putrajaya",https://www.edgeprop.my/listing/sale/3442533/putrajaya/putrajaya/landed/terracehouse/2.5-storey-hyperlink-house-at-duta-villa-presint-14-putrajaya,"1,500,000",https://www.edgeprop.my/listing/sale/3442533/putrajaya/putrajaya/landed/terracehouse/2.5-storey-hyperlink-house-at-duta-villa-presint-14-putrajaya,2.5 STOREY HYPERLINK HOUSE AT DUTA VILLA PRESINT 14 PUTRAJAYA,"Putrajaya, Putrajaya","*Walking distance to Surau Al-Manar, backyard open space*
DETAILS
*Type : Hyperlink Terrace House
*Land area : 30x75 sqft (2,250 sqft)
*Built up : 3,660 sqft
*Freehold Non...",6 B,6 BR,"3,660 sqft",RM 409/sqft,,,,Non Bumi Lot,Terrace House,6.0,1500000.0,6.0,3660.0,2.0,Putrajaya,Putrajaya,1.0,1.0,1.0,1500000.0,3660.0,2.0,1.0,409.8360655737705
Alam Impian,"Persiaran Tun Teja, Shah Alam, Selangor",https://www.edgeprop.my/listing/sale/3443158/selangor/shah_alam/landed/linkbungalow-semidetachedhouse/2-storey-semi-d-cluster-casablanca-alam-impian-shah-alam-type-b,"1,300,000",https://www.edgeprop.my/listing/sale/3443158/selangor/shah_alam/landed/linkbungalow-semidetachedhouse/2-storey-semi-d-cluster-casablanca-alam-impian-shah-alam-type-b,"2 STOREY SEMI D CLUSTER, CASABLANCA, ALAM IMPIAN, SHAH ALAM (TYPE B)","Alam Impian, Shah Alam, Selangor","DOUBLE STOREY SEMI D CLUSTER CASABLANCA ALAM IMPIAN SHAH ALAM (TYPE B)
*Brand new unit*
DETAILS
*Type : Semi detached
*Land area : 35x70 ...",4 B,4 BR,"2,253 sqft",RM 577/sqft,,,,Non Bumi Lot,Link Bungalow / Semi-Detached,4.0,1300000.0,4.0,2253.0,2.0,Selangor,Shah Alam,0.95,0.95,0.9025,1300000.0,2253.0,2.0,0.9025,577.0084332001776
Ascott Hill,"Jalan BRP 2/1i, Bukit Rahman Putra, Bukit Rahman Putra, Selangor",https://www.edgeprop.my/listing/sale/3295954/selangor/bukit_rahman_putra/landed/linkbungalow-semidetachedhouse/luxurious-ascot-hill-semi-d-corner-lot-for-sale-bukit-rahman-putra-rm1-900-000,"1,900,000",https://www.edgeprop.my/listing/sale/3295954/selangor/bukit_rahman_putra/landed/linkbungalow-semidetachedhouse/luxurious-ascot-hill-semi-d-corner-lot-for-sale-bukit-rahman-putra-rm1-900-000,"Luxurious Ascot Hill Semi-D Corner Lot for Sale – Bukit Rahman Putra, RM1,900,000","Ascott Hill, Bukit Rahman Putra, Selangor",-''-,4 B,5 + 1 BR,"2,400 sqft",RM 791/sqft,,,,Non Bumi Lot,,6.0,1900000.0,4.0,2400.0,2.0,Selangor,Bukit Rahman Putra,0.95,0.8,0.76,1900000.0,2400.0,2.0,0.76,791.6666666666666
Ascott Hill,"Jalan BRP 2/1i, Bukit Rahman Putra, Bukit Rahman Putra, Selangor",https://www.edgeprop.my/listing/sale/3295954/selangor/bukit_rahman_putra/landed/linkbungalow-semidetachedhouse/luxurious-ascot-hill-semi-d-corner-lot-for-sale-bukit-rahman-putra-rm1-900-000,"1,900,000",https://www.edgeprop.my/listing/sale/3295954/selangor/bukit_rahman_putra/landed/linkbungalow-semidetachedhouse/luxurious-ascot-hill-semi-d-corner-lot-for-sale-bukit-rahman-putra-rm1-900-000,"Luxurious Ascot Hill Semi-D Corner Lot for Sale – Bukit Rahman Putra, RM1,900,000","Ascott Hill, Bukit Rahman Putra, Selangor","Discover your dream home with this luxurious semi-detached corner lot located in the exclusive Ascot Hill community, Bukit Rahman Putra. This stunning property in Bukit Rahman Putra offers the perfect canvas to design your dream home. Located directly opposite the Bukit Rahman Putra Golf Club, this spacious property with huge usable land provides both privacy and accessibility, just a short distance from all major amenities. This high-end property offers a perfect blend of luxury and functionality, ideal for families or as a prime investment. Enjoy serene living in a gated and guarded community with excellent amenities.
-2.5 Storey Semi-D Corner Lot
-Land size: 6405 sf
-Built up: 2400 sf
-Almost like Bungalow lot s...",,,,,,,,,Link Bungalow / Semi-Detached,,1900000.0,,2207.0,2.0,Selangor,Bukit Rahman Putra,0.95,0.8,0.76,1900000.0,2207.0,2.0,0.76,860.8971454463071
BK5,"Bandar Kinrara, Bandar Kinrara Puchong, Selangor",https://www.edgeprop.my/listing/sale/3149721/selangor/bandar_kinrara_puchong/landed/terracehouse/corner-2-storey-terrace-house-bk5-bandar-kinrara-puchong-for-sale-2-storey-house-freehold-huge-land-corner-lot,"2,100,000",https://www.edgeprop.my/listing/sale/3149721/selangor/bandar_kinrara_puchong/landed/terracehouse/corner-2-storey-terrace-house-bk5-bandar-kinrara-puchong-for-sale-2-storey-house-freehold-huge-land-corner-lot,"Corner 2-Storey Terrace House @ BK5, Bandar Kinrara, Puchong, For Sale, 2 Storey House, Freehold Huge Land, Corner Lot","BK5, Bandar Kinrara Puchong, Selangor","Corner Terrace House @ BK5, Bandar Kinrara, Puchong, For Sale,
Perfect for Families!
Discover your dream home in BK5 Bandar Kinrara ! This stunning huge corner double-storey house offers the perfect blend of comfort and style, ideal for families and entertaining.
✨ Property Highlights:
4 Bedrooms + 1 ...",3 B,4 + 1 BR,- sqft,RM -,3 Car Parks,,,,Terrace House,5.0,2100000.0,3.0,2207.0,3.0,Selangor,Bandar Kinrara Puchong,0.95,0.8,0.76,2100000.0,2207.0,3.0,0.76,951.5178975985501
Bandar Baru Selayang,"Selayang, Selangor",https://www.edgeprop.my/listing/sale/3442515/selangor/selayang/landed/terracehouse/selayang-bandar-baru-selayang.-completed-new-super-link-house-for-sale.-big-built-up-3000-sqft.-hilltop-with-natural-breeze.,"1,260,000",https://www.edgeprop.my/listing/sale/3442515/selangor/selayang/landed/terracehouse/selayang-bandar-baru-selayang.-completed-new-super-link-house-for-sale.-big-built-up-3000-sqft.-hilltop-with-natural-breeze.,"Selayang, Bandar Baru Selayang. Completed New Super Link House FOR SALE. Big built-up 3000 sqft. Hilltop with Natural Breeze.","Bandar Baru Selayang, Selayang, Selangor","Selayang, Bandar Baru Selayang. Completed New Super Link House FOR SALE. Big built-up 3000 sqft. Hilltop with Natural Breeze.
Selayang 3 Storey Brand New House For Sale.
~ Selayang New 3 Storey Link House Completed With CCC.
~ Move in Immediate.
~ Spacious 5 rooms, 5 Bathrooms, maximised built-...",5 B,5 BR,"3,275 sqft",RM 384/sqft,,,,,Terrace House,5.0,1260000.0,5.0,3275.0,2.0,Selangor,Selayang,0.95,0.8,0.76,1260000.0,3275.0,2.0,0.76,384.7328244274809
Bandar Botanic,"Persiaran Botanic, Bandar Botanic/Bandar Bukit Tinggi, Selangor",https://www.edgeprop.my/listing/sale/3440851/selangor/bandar_botanic/bandar_bukit_tinggi/landed/terracehouse/bandar-botanic,"860,000",https://www.edgeprop.my/listing/sale/3440851/selangor/bandar_botanic/bandar_bukit_tinggi/landed/terracehouse/bandar-botanic,Bandar Botanic,"Bandar Botanic, Bandar Botanic/Bandar Bukit Tinggi, Selangor","Bandar Botanic Klang, Bungor
Facing Field (Ample Parking Space)
2 Storey Terrace
22x75 ft
4 Bedr...",3 B,4 BR,"1,650 sqft",RM 521/sqft,,,,Non Bumi Lot,Terrace House,4.0,860000.0,3.0,1650.0,2.0,Selangor,Bandar Botanic/Bandar Bukit Tinggi,0.95,0.8,0.76,860000.0,1650.0,2.0,0.76,521.2121212121212
Bandar Indahpura,"Kulai, Johor",https://www.edgeprop.my/listing/sale/3439822/johor/kulai/landed/terracehouse/bandar-indahpura-ruby-double-storey-terrace,"588,000",https://www.edgeprop.my/listing/sale/3439822/johor/kulai/landed/terracehouse/bandar-indahpura-ruby-double-storey-terrace,Bandar Indahpura Ruby Double Storey Terrace,"Bandar Indahpura, Kulai, Johor","KULAI INDAHPURA RUBY
Double Storey Terrace House
Land size 22x70sqft
4bedrooms
3bathrooms
Original unit
G & G
Facing SouthWest
Unblock view
Selling Price RM 588k
Kindly contact Jia Qi 01153613627
**no co broke unit**",3 B,4 BR,- sqft,RM -,,,,Non Bumi Lot,Terrace House,4.0,588000.0,3.0,2207.0,2.0,Johor,Kulai,0.9,0.8,0.7200000000000001,588000.0,2207.0,2.0,0.7200000000000001,266.425011327594
Bandar Puchong Jaya,"Jalan Bandar Puchong Jaya, Puchong, Selangor",https://www.edgeprop.my/listing/sale/2641179/selangor/puchong/landed/residentialland/jalan-kasawari-puchong-kasawari-height-bandar-puchong-jaya-limited-corner-unit-and-garden,"1,200,000",https://www.edgeprop.my/listing/sale/2641179/selangor/puchong/landed/residentialland/jalan-kasawari-puchong-kasawari-height-bandar-puchong-jaya-limited-corner-unit-and-garden,"Jalan Kasawari , Puchong, Kasawari Height ,Bandar Puchong Jaya ,limited corner unit and garden","Bandar Puchong Jaya, Puchong, Selangor","Kasawari Heights, Bandar Puchong Jaya,Puchong limited Corner lot
Property Overview:
Type: Freehold Corner 2 Storey Terrace House
Hill-...",3 B,4 BR,,,,"3,100 sqft",RM 387/sqft,Non Bumi Lot,Residential Land,4.0,1200000.0,3.0,2207.0,2.0,Selangor,Puchong,0.95,0.95,0.9025,1200000.0,2207.0,2.0,0.9025,543.7245129134571
Bandar Puchong Jaya,"Jalan Bandar Puchong Jaya, Puchong, Selangor",https://www.edgeprop.my/listing/sale/3347369/selangor/puchong/landed/terracehouse/fully-renovation-2-sty-jalan-bangau-bandar-puchong-jaya-gated-guarded,"868,000",https://www.edgeprop.my/listing/sale/3347369/selangor/puchong/landed/terracehouse/fully-renovation-2-sty-jalan-bangau-bandar-puchong-jaya-gated-guarded,Fully Renovation 2 Sty Jalan Bangau Bandar Puchong Jaya Gated Guarded,"Bandar Puchong Jaya, Puchong, Selangor","**Fully Renovation**
**Gated Guarded**
2 Sty Jalan Bangau Bandar Puchong Jaya
Freehold
20x75sf
4 rooms 4 toilet
Fully Renovation
Fully Extended
Plaster Ceiling
Kitchen cabinet & table top
Security Door
Auto Gate
Selling price: RM 868,000
Jayden Lee(REN24720)
016 239 8438",4 B,4 BR,- sqft,RM -,3 Car Parks,,,Non Bumi Lot,Terrace House,4.0,868000.0,4.0,2207.0,3.0,Selangor,Puchong,0.95,0.95,0.9025,868000.0,2207.0,3.0,0.9025,393.29406434073405
Bandar Puchong Jaya,"Jalan Bandar Puchong Jaya, Puchong, Selangor",https://www.edgeprop.my/listing/sale/3391151/selangor/puchong/landed/terracehouse/bandar-puchong-jaya-puchong-selangor,"480,000",https://www.edgeprop.my/listing/sale/3391151/selangor/puchong/landed/terracehouse/bandar-puchong-jaya-puchong-selangor,"Bandar Puchong Jaya, Puchong, Selangor","Bandar Puchong Jaya, Puchong, Selangor","2 Storey House, Bandar Puchong Jaya Jalan Merpati
..Land area 15x55
..Build up 1000sf
..4 bedroom, 2 bathroom
..Full Extended Kitchen
..Kitchen Ca...",2 B,4 BR,"1,000 sqft",RM 480/sqft,,,,Non Bumi Lot,Terrace House,4.0,480000.0,2.0,1000.0,2.0,Selangor,Puchong,0.95,0.95,0.9025,480000.0,1000.0,2.0,0.9025,480.0
Bandar Puteri Klang,"Jalan Kerongsang, Klang, Selangor",https://www.edgeprop.my/listing/sale/3390464/selangor/klang/landed/terracehouse/22x75-cash-back-rm-120k-bandar-puteri-klang,"568,000",https://www.edgeprop.my/listing/sale/3390464/selangor/klang/landed/terracehouse/22x75-cash-back-rm-120k-bandar-puteri-klang,(22x75 CASH BACK RM 120k) BANDAR PUTERI KLANG,"Bandar Puteri Klang, Klang, Selangor","2 STOREY @ BANDAR PUTERI KLANG, KLANG
** FULL LOAN **
** CASH BACK RM 120k **
** 0 DOWN PAYMENT **
** PARTLY FURNISHED...",3 B,4 BR,"2,000 sqft",RM 284/sqft,4 Car Parks,,,Non Bumi Lot,Terrace House,4.0,568000.0,3.0,2000.0,4.0,Selangor,Klang,0.95,0.95,0.9025,568000.0,2000.0,4.0,0.9025,284.0
Bandar Seri Botani,"Ipoh, Perak",https://www.edgeprop.my/listing/sale/2878942/perak/ipoh/landed/terracehouse/corner-lot-open-facing-house-sri-palma-bandar-seri-botani-ipoh-perak-for-sale,"590,000",https://www.edgeprop.my/listing/sale/2878942/perak/ipoh/landed/terracehouse/corner-lot-open-facing-house-sri-palma-bandar-seri-botani-ipoh-perak-for-sale,"Corner Lot Open Facing House, Sri Palma, Bandar Seri Botani, Ipoh Perak For Sale","Bandar Seri Botani, Ipoh, Perak","*DOUBLE STOREY HOUSE CORNER LOT FOR SALE LOCATION SERI PALMA BOTANI, IPOH PERAK*
Details
✅ Freehold
✅ Bumilot | MB Consent
✅ 4 Bedroom
✅ 3 Bat...",3 B,4 + 1 BR,"2,540 sqft",RM 232/sqft,2 Car Parks,,,Bumi Lot,Terrace House,5.0,590000.0,3.0,2540.0,2.0,Perak,Ipoh,0.85,0.85,0.7224999999999999,590000.0,2540.0,2.0,0.7224999999999999,232.28346456692913
